,공항명,운항,기상,A/C접속,A/C정비,여객처리,복합원인,기타,계,지연율
0,인천,1432905,1834,34174,3719,1130,619,23367,64843,4.52528255536829
1,김포,679444,2110,42701,1392,998,1003,2945,51149,7.5280670666015155
2,김해,440407,1501,16764,791,606,217,1867,21746,4.93770534982414
3,제주,809463,3221,86033,1244,598,334,1739,93169,11.509976367048278
4,대구,107511,303,5578,89,44,7,307,6328,5.885909348810819
5,광주,67860,481,5258,74,38,79,168,6098,8.986147951665192
6,무안,13567,76,283,26,6,0,81,472,3.479029999262918
7,청주,81206,664,5392,123,144,33,329,6685,8.232150333719183
8,양양,5875,8,62,4,3,0,4,81,1.3787234042553191
9,여수,29030,69,1390,31,8,6,23,1527,5.260075783672064
10,울산,31509,59,890,86,25,23,39,1122,3.560887365514615
11,사천,6040,41,458,19,4,0,16,538,8.90728476821192
12,포항,6599,33,235,15,9,2,13,307,4.652220033338385
13,군산,8589,25,871,12,7,17,21,953,11.095587379205961
14,원주,3915,43,139,6,1,0,9,198,5.057471264367816
